transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
659,3,2,2,0,0,61,549,16900,45900,NA,Normal,,,,,0
660,3,2,3,99,0,39,791,309,38500,NA,Normal,0-0-0,0.0,0.6667,0.0303,0
661,3,4,4,0,0,669,1720,3660,40100,NA,Normal,,,,,0
662,3,3,0,0,0,426,2480,17600,50900,NA,Normal,,,,,0
663,3,2,0,0,0,510,1230,5040,29500,NA,Normal,,,,,0
664,3,1,0,0,0,368,863,7880,32100,NA,Normal,,,,,0
665,3,0,0,0,0,120,293,11200,36100,NA,Normal,,,,,0
666,3,1,17,0,0,296,5070,13900,3600,NA,Normal,,0.0,0.3333,,0
667,3,2,0,0,0,452,6050,12200,36300,NA,Normal,,,,,0
668,3,7,0,0,0,761,2570,4070,34800,NA,Normal,,,,,0
669,3,5,3,2,0,568,2160,45100,31200,NA,Normal,,,,,0
670,3,6,0,0,0,610,2070,3710,25100,NA,Normal,,,,,0
671,3,11,10,5,0,319,3716,7951,50923,NA,Normal,0-2-1,0.0,3.6667,2.0,0
672,3,2,0,153,0,24,246,220,54300,NA,异常-未明类,,,0.6667,0.0,1
673,3,10,21,4,0,532,1320,9730,42000,NA,Normal,0-2-2,0.0,3.3333,5.25,0
674,3,9,18,3,0,369,1050,5810,31900,NA,Normal,0-2-2,0.0,3.0,6.0,0
675,3,3,0,0,0,483,1230,11200,57300,NA,Normal,,,,,0
676,3,1,0,0,0,103,555,15700,59900,NA,Normal,,,,,0
677,2,4,2,0,0,358,2770,15700,51300,NA,Normal,,,,,0
678,2,1,0,0,0,70,435,16072,46688,NA,Normal,,,,,0
679,2,2,3,3,0,32,801,12704,33134,NA,Normal,,,,,0
680,0,0,0,0,0,29,347,23500,50600,NA,Normal,,,,,0
681,0,4,3,292,0,25,1510,302,51300,NA,异常-未明类,,0.0,,0.0103,1
682,0,2,8,2,0,152,823,20600,46500,NA,Normal,,,,,0
683,0,2,6,1,0,97,915,15115,48813,NA,Normal,,,,,0
684,0,0,0,0,0,72,629,19100,58400,NA,Normal,,,,,0
685,0,0,3,0,0,67,511,18600,44400,NA,Normal,,,,,0
686,0,0,3,0,0,46,520,21900,46200,NA,Normal,,,,,0
687,0,0,0,0,0,51,658,21300,46200,NA,Normal,,,,,0
688,0,1,0,0,0,10,348,16443,43308,NA,Normal,,,,,0
689,0,3,0,0,0,117,699,20000,54700,NA,Normal,,,,,0
690,0,3,0,0,0,105,624,16600,49300,NA,Normal,,,,,0
691,0,4,0,0,0,182,1100,17000,55600,NA,Normal,,,,,0
692,0,5,0,0,0,123,767,21200,60000,NA,Normal,,,,,0
693,0,0,0,0,0,25,467,25600,47100,NA,Normal,,,,,0
694,0,6,0,0,0,280,502,789,20300,NA,Normal,,,,,0
695,0,6,34,15,0,197,2070,21500,45600,NA,Normal,,0.0,,2.2667,0
696,0,0,6,0,0,202,2220,23100,48600,NA,Normal,,,,,0
697,0,0,21,0,0,251,5620,16100,38600,NA,Normal,,0.0,,,0
698,0,2,0,0,0,284,3820,14700,36500,NA,Normal,,,,,0
699,0,3,6,0,0,358,5507,9444,35331,NA,Normal,,,,,0
700,0,0,0,0,0,56,202,27300,65600,NA,Normal,,,,,0
701,0,2,0,0,0,113,326,1230,10500,NA,Normal,,,,,0
702,0,0,0,0,0,81,192,4330,11200,NA,Normal,,,,,0
703,0,0,0,0,0,114,782,19900,43300,NA,Normal,,,,,0
704,0,0,0,0,0,49,427,25800,57100,NA,Normal,,,,,0
705,0,0,0,0,0,66,914,22800,46800,NA,Normal,,,,,0
706,0,0,0,0,0,40,620,23200,45800,NA,Normal,,,,,0
707,0,0,6,0,0,84,779,24100,49300,NA,Normal,,,,,0
708,0,0,0,0,0,54,738,24300,50200,NA,Normal,,,,,0
709,0,2,0,99,0,24,482,448,38900,NA,Normal,,,,0.0,0
710,0,0,0,0,0,36,585,22800,44600,NA,Normal,,,,,0
711,0,2,0,0,0,426,1360,16000,48000,NA,Normal,,,,,0
712,0,0,0,0,0,49,466,23900,45900,NA,Normal,,,,,0
713,0,0,0,0,0,78,190,20300,62500,NA,Normal,,,,,0
714,0,0,0,0,0,73,196,19500,54800,NA,Normal,,,,,0
715,0,0,0,0,0,61,304,18400,51700,NA,Normal,,,,,0
716,18,5,3,91,0,127,711,154,42800,NA,Normal,0-0-0,0.0,0.2778,0.033,0
717,11,3,0,3,0,309,2240,15600,45000,NA,Normal,,,0.2727,0.0,0
718,11,2,3,49,0,41,594,1760,56800,NA,Normal,0-0-0,0.0,0.1818,0.0612,0
719,11,0,0,60,0,30,593,1770,48600,NA,Normal,,,0.0,0.0,0
720,11,2,0,54,0,29,867,1780,56900,NA,Normal,,,0.1818,0.0,0
721,11,2,0,63,0,54,1050,265,50800,NA,Normal,,,0.1818,0.0,0
722,11,0,0,0,0,62,649,15700,41700,NA,Normal,,,0.0,,0
723,11,2,0,211,0,35,309,222,41000,NA,异常-未明类,,,0.1818,0.0,1
724,17,2,4,97,0,46,1050,262,47400,NA,Normal,0-0-0,0.0,0.1176,0.0412,0
725,17,6,5,211,0,87,599,645,49600,NA,低温过热<150℃,0-0-0,0.0,0.3529,0.0237,1
726,17,2,0,56,0,31,561,259,53300,NA,Normal,,,0.1176,0.0,0
727,17,2,3,64,0,40,1230,233,53500,NA,Normal,0-0-0,0.0,0.1176,0.0469,0
728,17,2,0,116,0,47,796,232,48600,NA,Normal,,,0.1176,0.0,0
729,17,5,0,0,0,320,2450,564,14600,NA,Normal,,,0.2941,,0
730,16,15,0,21,0,122,12000,1050,51600,NA,Normal,,,0.9375,0.0,0
731,16,6,0,138,0,138,663,2020,56600,NA,Normal,,,0.375,0.0,0
732,16,0,0,53,0,35,604,2270,65400,NA,Normal,,,0.0,0.0,0
733,16,4,17,183,0,44,709,2030,53800,NA,低温过热<150℃,0-0-0,0.0,0.25,0.0929,1
734,12,2,4,48,0,34,569,151,48200,NA,Normal,0-0-0,0.0,0.1667,0.0833,0
735,12,2,3,72,0,36,1560,1840,61900,NA,Normal,0-0-0,0.0,0.1667,0.0417,0
736,12,2,0,51,0,35,895,285,52500,NA,Normal,,,0.1667,0.0,0
737,12,2,0,84,0,52,918,465,52700,NA,Normal,,,0.1667,0.0,0
738,12,2,0,0,0,170,1440,2150,11100,NA,Normal,,,0.1667,,0
739,15,3,3,84,0,60,853,227,52900,NA,Normal,0-0-0,0.0,0.2,0.0357,0
740,15,3,3,108,0,64,622,334,47100,NA,Normal,0-0-0,0.0,0.2,0.0278,0
741,15,2,0,0,0,675,2530,1280,35000,NA,Normal,,,0.1333,,0
742,15,5,0,72,0,77,532,169,50600,NA,Normal,,,0.3333,0.0,0
743,15,3,5,27,0,64,581,308,39700,NA,Normal,0-0-0,0.0,0.2,0.1852,0
