transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
397,22,3,3,0,0,770,2390,2820,53100,NA,Normal,,0.0,0.1364,,0
398,20,6,0,0,0,307,1960,2170,21300,NA,Normal,,,0.3,,0
399,19,15,2,4,0,184,586,618,20200,NA,Normal,0-0-0,0.0,0.7895,0.5,0
400,8,23,0,5,0,226,4390,10600,61600,NA,Normal,,,2.875,0.0,0
401,8,21,0,4,0,230,5050,8710,71900,NA,Normal,,,2.625,0.0,0
402,7,21,0,2,0,200,4782,4973,56032,NA,Normal,,,3.0,0.0,0
403,10,2,0,0,0,678,2360,3350,51100,NA,Normal,,,0.2,,0
404,9,16,0,3,0,279,2820,909,32800,NA,Normal,,,1.7778,0.0,0
405,7,18,0,4,0,236,2730,8220,55800,NA,Normal,,,2.5714,0.0,0
406,7,8,0,0,0,152,528,647,16900,NA,Normal,,,,,0
407,7,4,0,0,0,221,268,1430,15400,NA,Normal,,,,,0
408,7,2,0,0,0,784,1410,2630,58800,NA,Normal,,,,,0
409,7,2,0,0,0,157,1080,4520,22800,NA,Normal,,,,,0
410,6,13,9,0,0,291,2050,8510,64300,NA,Normal,,0.0,2.1667,,0
411,6,0,0,0,0,411,4160,13300,36900,NA,Normal,,,,,0
412,6,5,0,0,0,893,2640,6080,40900,NA,Normal,,,,,0
413,5,17,3,5,0,269,1880,12300,70900,NA,Normal,0-2-0,0.0,3.4,0.6,0
414,5,3,3,0,0,534,3010,12500,48400,NA,Normal,,,,,0
415,5,5,6,1,0,158,4331,3686,57725,NA,Normal,,,,,0
416,5,0,0,0,0,230,399,15000,44400,NA,Normal,,,,,0
417,4,8,0,4,0,285,4230,279,20000,NA,Normal,,,,,0
418,4,3,0,7,0,443,5890,13600,37500,NA,Normal,,,,,0
419,4,1,0,0,0,408,936,17000,56700,NA,Normal,,,,,0
420,3,0,0,0,0,35,290,20500,44000,NA,Normal,,,,,0
421,3,3,4,0,0,362,2230,17400,56700,NA,Normal,,,,,0
422,3,6,0,0,0,1070,2950,2020,59600,NA,Normal,,,,,0
423,3,0,5,0,0,201,2320,22900,48000,NA,Normal,,,,,0
424,3,0,8,0,0,202,3290,23700,49800,NA,Normal,,,,,0
425,3,0,0,0,0,129,1530,21700,43200,NA,Normal,,,,,0
426,3,0,30,0,0,209,2650,19500,42800,NA,Normal,,0.0,0.0,,0
427,3,0,28,0,0,128,1700,18400,45000,NA,Normal,,0.0,0.0,,0
428,3,0,0,0,0,163,458,14900,56700,NA,Normal,,,,,0
429,3,0,0,0,0,195,283,12000,35800,NA,Normal,,,,,0
430,2,2,0,0,0,19,498,24978,76582,NA,Normal,,,,,0
431,2,4,0,0,0,359,2250,15900,51300,NA,Normal,,,,,0
432,2,3,9,0,0,216,3260,24800,54600,NA,Normal,,,,,0
433,0,0,9,0,0,31,907,24600,50800,NA,Normal,,,,,0
434,0,4,0,0,0,262,845,5010,51800,NA,Normal,,,,,0
435,0,5,0,3,0,297,778,7520,38100,NA,Normal,,,,,0
436,0,4,0,0,0,458,2830,839,20700,NA,Normal,,,,,0
437,0,0,0,0,0,111,417,1565,9555,NA,Normal,,,,,0
438,0,2,10,0,0,223,2650,22200,47200,NA,Normal,,0.0,,,0
439,0,0,7,0,0,249,2510,21800,47300,NA,Normal,,,,,0
440,0,0,5,0,0,205,2190,22900,49800,NA,Normal,,,,,0
441,0,2,6,0,0,209,2190,26600,62500,NA,Normal,,,,,0
442,0,0,0,0,0,118,270,3300,12200,NA,Normal,,,,,0
443,0,0,0,0,0,43,554,1850,61700,NA,Normal,,,,,0
444,0,0,0,0,0,100,609,27200,58900,NA,Normal,,,,,0
445,0,0,0,0,0,51,458,24400,47700,NA,Normal,,,,,0
446,0,0,0,0,0,67,462,25200,50000,NA,Normal,,,,,0
447,11,11,3,5,0,196,1900,478,19400,NA,Normal,0-2-0,0.0,1.0,0.6,0
448,17,16,11,0,0,809,3590,5680,59500,NA,Normal,,0.0,0.9412,,0
449,12,4,5,0,0,413,4720,15200,62800,NA,Normal,,0.0,0.3333,,0
450,12,11,16,8,0,870,11100,4350,65500,NA,Normal,0-0-1,0.0,0.9167,2.0,0
451,178,144,3,10,0,672,2260,4070,27300,NA,低温过热<150℃,0-0-0,0.0,0.809,0.3,1
452,10,2,6,0,2,403,1140,11900,55100,NA,Normal,,0.3333,0.2,,0
453,4,4,4,3,2,597,1440,5040,37600,NA,Normal,1-2-1,0.5,1.0,1.3333,0
454,0,0,0,0,2,52,620,14908,42800,NA,Normal,,,,,0
455,9,35,52,17,0,267,1610,578,29200,NA,Normal,0-2-2,0.0,3.8889,3.0588,0
456,17,29,3,5,0,113,4420,3960,36100,NA,Normal,0-2-0,0.0,1.7059,0.6,0
457,14,78,33,1850,0,372,1850,2380,67400,NA,低温过热150~300℃,0-2-0,0.0,5.5714,0.0178,1
458,478,21,0,4,0,54,323,9460,64700,NA,异常-未明类,,,0.0439,0.0,1
459,14,11,13,5,1,674,11700,514,70600,NA,Normal,0-0-1,0.0769,0.7857,2.6,0
460,13,0,0,0,0,309,908,12300,43400,NA,Normal,,,0.0,,0
461,13,2,0,0,0,236,857,6680,59700,NA,Normal,,,0.1538,,0
462,13,3,0,80,0,33,649,283,60700,NA,Normal,,,0.2308,0.0,0
463,13,3,0,0,0,220,1280,3430,16300,NA,Normal,,,0.2308,,0
464,13,10,15,71,0,121,3340,309,55000,NA,Normal,0-0-0,0.0,0.7692,0.2113,0
465,14,4,3,100,0,72,1120,1170,50900,NA,Normal,0-0-0,0.0,0.2857,0.03,0
466,14,0,0,0,0,27,397,27000,56100,NA,Normal,,,0.0,,0
467,14,2,0,44,0,20,645,437,55000,NA,Normal,,,0.1429,0.0,0
468,14,2,3,73,0,35,532,248,44600,NA,Normal,0-0-0,0.0,0.1429,0.0411,0
469,14,2,0,60,0,35,517,305,54800,NA,Normal,,,0.1429,0.0,0
470,14,3,0,0,0,155,735,2690,10300,NA,Normal,,,0.2143,,0
471,5,5,5,0,1,709,2310,7930,49900,NA,Normal,,0.2,1.0,,0
472,7,3,6,0,1,320,785,6150,19400,NA,Normal,,0.1667,0.4286,,0
473,15,4,13,3,1,266,630,18300,52900,NA,Normal,0-0-2,0.0769,0.2667,4.3333,0
474,227,11,8,26,0,122,2942,9987,37210,NA,局部放电,0-1-0,0.0,0.0485,0.3077,1
475,114,2,0,0,0,258,1250,7840,70100,NA,Normal,,,0.0175,,0
476,104,5,17,274,0,40,579,163,49800,NA,局部放电,0-1-0,0.0,0.0481,0.062,1
477,91,6,8,168,0,80,1860,571,44200,NA,局部放电,0-1-0,0.0,0.0659,0.0476,1
478,91,5,0,6,0,31,420,24600,49400,NA,Normal,,,0.0549,0.0,0
479,89,2,0,44,0,50,502,189,57800,NA,Normal,,,0.0225,0.0,0
480,88,3,0,0,0,530,2640,11300,52600,NA,Normal,,,0.0341,,0
481,79,6,14,533,0,45,409,667,54400,NA,局部放电,0-1-0,0.0,0.0759,0.0263,1
482,78,3,4,121,0,132,892,294,55700,NA,Normal,0-1-0,0.0,0.0385,0.0331,0
483,73,10,1,2,0,253,2101,1100,49947,NA,Normal,0-0-0,0.0,0.137,0.5,0
484,71,8,7,257,0,133,2650,342,46100,NA,低温过热<150℃,0-0-0,0.0,0.1127,0.0272,1
485,70,1,7,117,0,12,1750,371,40100,NA,Normal,0-1-0,0.0,0.0143,0.0598,0
486,61,4,3,117,0,98,909,440,48800,NA,Normal,0-1-0,0.0,0.0656,0.0256,0
487,61,4,0,52,0,98,591,1670,52600,NA,Normal,,,0.0656,0.0,0
488,59,15,5,5,0,577,6140,587,20100,NA,Normal,0-0-1,0.0,0.2542,1.0,0
489,59,3,3,109,0,68,704,1900,62400,NA,Normal,0-1-0,0.0,0.0508,0.0275,0
490,59,3,0,97,0,90,766,1420,50000,NA,Normal,,,0.0508,0.0,0
491,58,3,2,86,0,63,1040,896,55700,NA,Normal,0-1-0,0.0,0.0517,0.0233,0
492,58,4,4,108,0,70,636,177,30704,NA,Normal,0-1-0,0.0,0.069,0.037,0
493,57,4,4,147,0,98,926,2470,53800,NA,局部放电,0-1-0,0.0,0.0702,0.0272,1
494,56,4,8,430,0,46,430,21110,59700,NA,局部放电,0-1-0,0.0,0.0714,0.0186,1
495,54,2,0,15,0,222,1600,320,47000,NA,Normal,,,0.037,0.0,0
496,54,3,0,127,0,112,780,256,54600,NA,Normal,,,0.0556,0.0,0
497,54,4,4,126,0,89,833,281,44100,NA,Normal,0-1-0,0.0,0.0741,0.0317,0
498,54,4,4,126,0,89,833,281,44100,NA,Normal,0-1-0,0.0,0.0741,0.0317,0
499,52,3,5,82,0,87,934,1710,56300,NA,Normal,0-1-0,0.0,0.0577,0.061,0
500,52,22,5,51,0,203,1760,645,71300,NA,Normal,0-0-0,0.0,0.4231,0.098,0
501,52,3,4,60,0,128,754,322,39300,NA,Normal,0-1-0,0.0,0.0577,0.0667,0
502,52,3,0,68,0,90,681,1550,58400,NA,Normal,,,0.0577,0.0,0
503,51,2,0,217,0,53,344,339,47800,NA,异常-未明类,,,0.0392,0.0,1
504,50,4,4,105,0,70,758,205,55200,NA,Normal,0-1-0,0.0,0.08,0.0381,0
505,49,4,3,112,0,87,1030,352,54600,NA,Normal,0-1-0,0.0,0.0816,0.0268,0
506,49,2,3,85,0,58,710,398,40800,NA,Normal,0-1-0,0.0,0.0408,0.0353,0
507,48,3,3,77,0,112,914,245,58500,NA,Normal,0-1-0,0.0,0.0625,0.039,0
508,48,4,3,79,0,124,1010,1330,58900,NA,Normal,0-1-0,0.0,0.0833,0.038,0
509,48,3,4,144,0,36,673,71,21093,NA,局部放电,0-1-0,0.0,0.0625,0.0278,1
510,48,2,0,112,0,62,651,252,56800,NA,Normal,,,0.0417,0.0,0
511,48,3,5,132,0,56,650,289,57400,NA,Normal,0-1-0,0.0,0.0625,0.0379,0
512,47,4,0,57,0,74,621,400,48200,NA,Normal,,,0.0851,0.0,0
513,47,2,5,73,0,88,966,366,44500,NA,Normal,0-1-0,0.0,0.0426,0.0685,0
514,46,3,4,54,0,127,827,390,40200,NA,Normal,0-1-0,0.0,0.0652,0.0741,0
515,46,2,3,122,0,67,735,227,46700,NA,Normal,0-1-0,0.0,0.0435,0.0246,0
516,42,1,0,56,0,25,660,2580,64500,NA,Normal,,,0.0238,0.0,0
517,40,4,3,106,0,86,1110,266,56300,NA,Normal,0-0-0,0.0,0.1,0.0283,0
518,40,3,0,74,0,95,2190,511,63600,NA,Normal,,,0.075,0.0,0
519,39,3,4,96,0,69,711,1860,57900,NA,Normal,0-1-0,0.0,0.0769,0.0417,0
520,39,4,5,83,0,74,804,1060,50800,NA,Normal,0-0-0,0.0,0.1026,0.0602,0
521,38,4,3,136,0,126,3580,461,55900,NA,Normal,0-0-0,0.0,0.1053,0.0221,0
522,38,2,0,150,0,49,350,191,60800,NA,异常-未明类,,,0.0526,0.0,1
523,37,3,8,51,0,39,1030,224,49900,NA,Normal,0-1-0,0.0,0.0811,0.1569,0
524,37,5,8,4,0,313,1776,44788,44090,NA,Normal,0-0-1,0.0,0.1351,2.0,0
525,37,3,2,78,0,43,535,280,48100,NA,Normal,0-1-0,0.0,0.0811,0.0256,0
526,37,2,0,62,0,75,1190,493,48700,NA,Normal,,,0.0541,0.0,0
527,36,4,4,157,0,58,776,247,54000,NA,低温过热<150℃,0-0-0,0.0,0.1111,0.0255,1
528,35,3,0,44,0,50,547,438,53300,NA,Normal,,,0.0857,0.0,0
529,35,3,4,79,0,98,654,302,39700,NA,Normal,0-1-0,0.0,0.0857,0.0506,0
530,35,3,0,91,0,78,766,232,61400,NA,Normal,,,0.0857,0.0,0
531,35,4,9,96,0,75,587,336,51000,NA,Normal,0-0-0,0.0,0.1143,0.0938,0
532,3,37,87,32,0,126,319,1480,13500,NA,中温过热300~700℃,0-2-1,0.0,12.3333,2.7188,1
533,34,3,0,0,0,380,1680,7200,51200,NA,Normal,,,0.0882,,0
534,34,2,4,37,0,72,702,394,43300,NA,Normal,0-1-0,0.0,0.0588,0.1081,0
535,33,4,0,91,0,88,738,312,44100,NA,Normal,,,0.1212,0.0,0
536,33,2,0,184,0,53,486,2000,48700,NA,异常-未明类,,,0.0606,0.0,1
537,32,4,5,0,0,666,6450,7150,66200,NA,Normal,,0.0,0.125,,0
538,30,3,3,111,0,45,641,1310,49700,NA,Normal,0-0-0,0.0,0.1,0.027,0
539,30,4,3,83,0,105,920,298,55400,NA,Normal,0-0-0,0.0,0.1333,0.0361,0
540,30,3,3,69,0,54,604,302,56700,NA,Normal,0-0-0,0.0,0.1,0.0435,0
541,30,2,0,70,0,46,691,510,35200,NA,Normal,,,0.0667,0.0,0
542,30,2,0,79,0,42,439,466,41900,NA,Normal,,,0.0667,0.0,0
543,29,6,13,270,0,84,766,447,52700,NA,低温过热<150℃,0-0-0,0.0,0.2069,0.0481,1
544,29,3,0,89,0,95,607,277,44200,NA,Normal,,,0.1034,0.0,0
545,29,2,4,78,0,74,725,266,48500,NA,Normal,0-1-0,0.0,0.069,0.0513,0
546,29,2,3,115,0,53,569,396,52500,NA,Normal,0-1-0,0.0,0.069,0.0261,0
547,28,5,3,51,0,157,787,289,50300,NA,Normal,0-0-0,0.0,0.1786,0.0588,0
548,27,11,4,11,0,181,591,489,60200,NA,Normal,0-0-0,0.0,0.4074,0.3636,0
549,27,3,0,122,0,66,725,246,52900,NA,Normal,,,0.1111,0.0,0
550,26,7,6,302,0,89,784,4440,68800,NA,低温过热<150℃,0-0-0,0.0,0.2692,0.0199,1
551,26,3,0,62,0,68,598,321,48300,NA,Normal,,,0.1154,0.0,0
552,26,2,0,3,0,238,1150,8500,51200,NA,Normal,,,0.0769,0.0,0
553,25,9,4,0,0,482,2470,1500,70400,NA,Normal,,0.0,0.36,,0
554,25,3,0,102,0,42,552,2060,50300,NA,Normal,,,0.12,0.0,0
555,24,0,0,0,0,68,230,17200,41600,NA,Normal,,,0.0,,0
